track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Weight On Me,Sheff G;Sleepy Hallow,r-n-b,0,73.0,spotify_114k,happy,5,0.801,0.5329535755854133,0.8178781975052501,0.222,0.7098393574297188,4.28e-05,0.626,0.5836727270986978,157619.0,3.0,0.0
Eight Days A Week - Remastered 2009,The Beatles,british invasion,1964,66.0,musicon_v2,happy,5,0.6352549889135255,0.5726940466427634,0.9926571922624854,0.0239234449760765,0.4158046326721026,0.0,0.7474747474747475,0.0027308865184974165,164000.0,-1.0,-1.0
F2F,SZA,unknown,2022,70.0,spotify_2023,energetic,7,0.53,0.7399741534308512,0.8082635427472611,0.04,0.09036144578313253,0.0,0.47,0.43072299247191925,0.0,-1.0,-1.0
Hooked On A Feeling,Blue Swede;Björn Skifs,swedish,0,73.0,spotify_114k,happy,5,0.547,0.8199821062213585,0.8044682842901603,0.0805,0.2620481927710844,0.0,0.933,0.5657211499346736,172866.0,8.0,1.0
Over - Sped Up,Lucky Daye,indie,0,67.0,spotify_114k,energetic,7,0.694,0.6699671947391572,0.8324013865344231,0.105,0.47289156626506024,0.0,0.443,0.6006623562462012,170348.0,2.0,0.0
A Little Respect - 2009 Remastered Version,Erasure,rock,1988,69.0,musicon_v2,happy,5,0.5875831485587584,0.7802426525591356,0.9926571922624854,0.0071770334928229,0.030424729219909942,0.0,0.6282828282828283,0.002076555293273283,213987.0,-1.0,-1.0
Lucy In The Sky With Diamonds - Remastered 2009,The Beatles,british invasion,1967,69.0,musicon_v2,calm,2,0.2583148558758315,0.31834526488250325,0.9917725166314596,0.0119617224880382,0.05070788203318323,0.0,0.6767676767676768,0.000757077450672551,208000.0,-1.0,-1.0
I Wanna Know (Feat. Bea Miller),Notd,pop,2018,74.0,musicon_v2,happy,5,0.6474501108647449,0.7202163400637142,0.9953996867186656,0.0430622009569377,0.025353941016591566,0.0,0.6111111111111112,0.0022414900235983746,197939.0,-1.0,-1.0
After Hours,M-22,edm,2019,68.0,musicon_v2,euphoric,6,0.7439024390243901,0.8372167796734338,0.9957535569710759,0.0406698564593301,0.022311468094600603,0.0,0.686868686868687,0.002352347793161141,164976.0,-1.0,-1.0
Puppe,Rammstein,industrial,0,67.0,spotify_114k,energetic,7,0.581,0.8219823050411211,0.7889583280621411,0.0574,0.022991967871485944,0.0,0.3,0.559600097630545,273706.0,11.0,1.0
Baila Baila Baila - Remix,Ozuna;Daddy Yankee;J Balvin;Farruko;Anuel AA,reggae,0,76.0,spotify_114k,energetic,7,0.785,0.5719574525707856,0.7848341472054248,0.123,0.060040160642570284,0.0,0.49,0.47865767572301643,235284.0,2.0,1.0
Would You Be So Kind,Dodie,pop,2017,65.0,musicon_v2,happy,5,0.6485587583148559,0.6072854809621587,0.9912417112528441,0.2200956937799043,0.16023690722485903,0.0,0.6222222222222223,0.003328436934921108,180952.0,-1.0,-1.0
"Unchained Melody - Live at Ann Arbor, MI",Elvis Presley,rock-n-roll,0,68.0,spotify_114k,melancholic,0,0.271,0.2659270331470948,0.627988766034967,0.0348,0.8483935742971888,0.00174,0.163,0.37845715024096555,151906.0,0.0,1.0
All This Love (Feat. Harlœ),Robin Schulz,edm,2019,73.0,musicon_v2,energetic,7,0.4345898004434589,0.7975383697188332,0.9947804137769475,0.0753588516746411,0.07301935012778384,0.0,0.4292929292929293,0.0023550516411992573,164797.0,-1.0,-1.0
La Jumpa,"Arcangel, Bad Bunny",unknown,2022,72.0,spotify_2023,happy,5,0.71,0.6999701770355974,0.8082635427472611,0.19,0.30120481927710846,0.0,0.58,0.5886547563782897,0.0,-1.0,-1.0
Roses - Imanbek Remix,Saint Jhn,latin,2019,72.0,musicon_v2,euphoric,6,0.7838137472283814,0.7161467595555501,0.9948688813400501,0.0370813397129186,0.01521236460995492,0.0042826552462526,0.904040404040404,0.002298270832398816,176219.0,-1.0,-1.0
Antidepresan,"Mabel Matiz, Mert Demir",unknown,2022,70.0,spotify_2023,happy,5,0.7,0.5899592419486498,0.8082635427472611,0.03,0.030120481927710843,0.0,0.92,0.47858110274657695,0.0,-1.0,-1.0
Yo Voy (feat. Daddy Yankee),Zion & Lennox,reggae,0,84.0,spotify_114k,happy,5,0.808,0.6969698788059534,0.8254434126964048,0.241,0.04116465863453816,0.0,0.554,0.454939196270896,232019.0,10.0,1.0
Voodoo (with J Balvin & Tainy),Badshah;J Balvin;Tainy,hip-hop,0,68.0,spotify_114k,happy,5,0.797,0.7819783286458675,0.856842850998153,0.0504,0.0033634538152610446,0.0,0.503,0.4785763169355494,198130.0,3.0,0.0
DÁKITI,Bad Bunny;Jhayco,latino,0,83.0,spotify_114k,energetic,7,0.731,0.5729575519806669,0.7201882448194723,0.0544,0.40261044176706834,5.22e-05,0.145,0.526094634627257,205090.0,4.0,0.0
Bleed American,Jimmy Eat World,power-pop,0,67.0,spotify_114k,happy,5,0.438,0.9379938365873568,0.8327303089340385,0.094,0.008453815261044178,1.08e-06,0.584,0.7667443563323458,181493.0,6.0,0.0
Vanished,Crystal Castles,hardcore,0,69.0,spotify_114k,happy,5,0.713,0.867986877895663,0.8065936290261367,0.0305,0.002068273092369478,9.23e-05,0.641,0.5742016070753431,242960.0,0.0,0.0
Loser,Beck,rock,1994,68.0,musicon_v2,happy,5,0.639689578713969,0.6042332955810356,0.9905339707480234,0.1184210526315789,0.03448135978256456,0.0,0.793939393939394,0.0013086624504482672,235000.0,-1.0,-1.0
Strongest (Alan Walker Remix),Ina Wroldsen,latin,2017,69.0,musicon_v2,euphoric,6,0.7150776053215078,0.7832948379402587,0.9961958947865889,0.0633971291866028,0.07910429597176587,0.0,0.8606060606060607,0.0014871164209639396,210286.0,-1.0,-1.0
Forrest Gump,Frank Ocean,soul,0,69.0,spotify_114k,melancholic,0,0.701,0.4169420440391775,0.7768894061685602,0.0329,0.0891566265060241,0.000648,0.186,0.45466640504233047,194840.0,6.0,0.0
"Banjaara (From ""Ek Villain"")",Mohammed Irfan,pop-film,0,67.0,spotify_114k,nostalgic,3,0.657,0.48894920155063415,0.8019128102623789,0.0306,0.7158634538152611,0.0,0.399,0.5551540791860292,336567.0,1.0,0.0
Bad Things,I Prevail,metalcore,0,66.0,spotify_114k,energetic,7,0.5,0.8439844920585107,0.8415353085545126,0.064,0.0007941767068273093,9.54e-05,0.141,0.44050519021205925,228260.0,5.0,0.0
10 Things I Hate About You,Leah Kate,unknown,2022,71.0,spotify_2023,energetic,7,0.54,0.7899791239249183,0.8082635427472611,0.05,0.010040160642570281,0.0,0.45,0.7370148982297284,0.0,-1.0,-1.0
Toast,Koffee,dancehall,0,67.0,spotify_114k,happy,5,0.906,0.6379640136229542,0.7743845355868735,0.256,0.034337349397590367,1.7e-05,0.789,0.4783848844944508,191502.0,10.0,0.0
"Elliot's Song - From ""Euphoria"" An HBO Original Series",Dominic Fike;Zendaya,alternative,0,70.0,spotify_114k,nostalgic,3,0.394,0.32693309714985674,0.6131113528831313,0.114,0.8524096385542169,0.0,0.411,0.4467937459021493,150320.0,4.0,1.0
Stay Alive,José González,singer-songwriter,0,67.0,spotify_114k,nostalgic,3,0.714,0.30593100954234853,0.6682691091263315,0.0388,0.7289156626506024,0.168,0.314,0.6220788605941105,266906.0,6.0,1.0
American Idiot,Green Day,punk,0,79.0,spotify_114k,happy,5,0.38,0.987998807081424,0.9230321584899932,0.0639,2.6506024096385545e-05,7.86e-05,0.769,0.8907016477547367,176346.0,1.0,1.0
Haz Lo Que Quieras,Haze,latin,2019,67.0,musicon_v2,euphoric,6,0.6995565410199556,0.7731208866698484,0.9954881542817682,0.027511961722488,0.20283152813273292,0.0,0.7828282828282829,0.00170342426401324,231644.0,-1.0,-1.0
For Your Relief,Calming Eyes,sleep,0,65.0,spotify_114k,melancholic,0,0.149,0.016002190617747405,0.10037193532879607,0.0351,0.9096385542168676,0.945,0.03,0.6759623069523476,141510.0,2.0,1.0
Bulletproof,La Roux;GAMPER & DADONI,synth-pop,0,70.0,spotify_114k,happy,5,0.752,0.7709772351371728,0.8241530248209904,0.0311,0.003423694779116466,1.73e-05,0.527,0.6031079056812362,162213.0,6.0,1.0
Pop Boy (Feat. Aitch),Stormzy,rap,2019,72.0,musicon_v2,euphoric,6,0.7993348115299335,0.8117819014974078,0.9968151677283069,0.3624401913875598,0.027382256297918874,0.0,0.7393939393939395,0.001968401371748633,152907.0,-1.0,-1.0
Welcome to Wonderland,Anson Seabra,songwriter,0,71.0,spotify_114k,melancholic,0,0.703,0.17891838448741804,0.6987576853983757,0.0366,0.9528112449799196,0.0,0.346,0.4662672109729075,199131.0,4.0,1.0
LONDON (feat. J. Cole),BIA;J. Cole,latin,0,70.0,spotify_114k,happy,5,0.644,0.6709672941490386,0.8442425929205779,0.315,0.022590361445783132,0.0,0.563,0.6317318414365091,250722.0,11.0,0.0
Piece Of My Heart,Big Brother & The Holding Company,rock,1968,67.0,musicon_v2,happy,5,0.4057649667405764,0.7222511303177963,0.9926571922624854,0.1495215311004784,0.2667234594945439,0.0,0.5717171717171717,0.003347363871187923,253333.0,-1.0,-1.0
Video Killed The Radio Star,The Buggles,synth-pop,0,72.0,spotify_114k,dark,1,0.68,0.677967990018208,0.6825139792019836,0.0754,0.10341365461847389,0.00828,0.251,0.6277309034175476,252773.0,1.0,1.0
Hold Me Down,Daniel Caesar,r&b,2017,65.0,musicon_v2,nostalgic,3,0.4279379157427937,0.41703259220548416,0.9910647761266389,0.0418660287081339,0.6368909983367815,0.0010706638115631,0.2333333333333333,0.0021387437981499565,231268.0,-1.0,-1.0
Tere Jeya Hor Disda (LoFi),Madhur Sharma,pop,0,67.0,spotify_114k,melancholic,0,0.363,0.46894721335300726,0.7620625964628192,0.0528,0.7971887550200804,0.0176,0.102,0.8231020669917827,117421.0,7.0,0.0
"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,latin,2019,67.0,musicon_v2,energetic,7,0.8503325942350333,0.7680339110346431,0.9956650894079734,0.208133971291866,0.2880207699484808,0.0,0.3393939393939394,0.00170342426401324,147395.0,-1.0,-1.0
Morir Solo,Prince Royce,latin,2019,67.0,musicon_v2,euphoric,6,0.7793791574279378,0.7751556769239304,0.9967267001652044,0.0143540669856459,0.24948277960326157,0.0,0.9121212121212122,0.0022441938716364906,242343.0,-1.0,-1.0
Future Nostalgia,Dua Lipa,r&b,2019,77.0,musicon_v2,euphoric,6,0.88470066518847,0.8097471112433257,0.9957535569710759,0.0454545454545454,0.006084945843981928,0.0,0.8676767676767678,0.002109001469730678,184882.0,-1.0,-1.0
Slide,The Goo Goo Dolls,rock,1998,69.0,musicon_v2,energetic,7,0.352549889135255,0.8402689650545568,0.9957535569710759,0.020334928229665,0.005070788203318273,0.0,0.4858585858585859,0.0020387014207396558,212067.0,-1.0,-1.0
Tap (Feat. Meek Mill),Nav,rap,2019,79.0,musicon_v2,energetic,7,0.9135254988913524,0.6703639788387031,0.9935418678935113,0.2763157894736842,0.06592024664313816,0.0,0.4565656565656566,0.0012978470582958018,148278.0,-1.0,-1.0
Seele,Azet,rap,2019,74.0,musicon_v2,energetic,7,0.9490022172949,0.5157199195284652,0.9940726732721268,0.326555023923445,0.08721755709707511,0.0,0.298989898989899,0.001757501224775565,134799.0,-1.0,-1.0
