track_name,artist,genre,year,popularity,source,mood,mood_code,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms,key,mode
Unholy (feat. Kim Petras),Sam Smith;Kim Petras,dance,0,100.0,spotify_114k,melancholic,0,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,0.238,131.121,156943.0,2.0,1.0
Dance Monkey,Tones and I,australian pop,2019,100.0,spotify_2000,happy,5,0.82,0.59,-6.0,0.09,0.69,0.0,0.51,98.0,0.0,-1.0,-1.0
How You Remind Me,Nickelback,unknown,2002,99.0,billboard,happy,5,0.446,0.764,-5.042,0.033,0.00135,0.0,0.543,172.094,223840.0,10.0,1.0
Breathe,Faith Hill,unknown,2000,99.0,billboard,melancholic,0,0.529,0.496,-9.007,0.029,0.173,0.0,0.278,136.859,250547.0,7.0,1.0
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip-hop,0,99.0,spotify_114k,happy,5,0.621,0.782,-5.548,0.044,0.0125,0.033,0.55,128.033,198937.0,2.0,1.0
In da Club,50 Cent,unknown,2003,99.0,billboard,euphoric,6,0.902,0.72,-2.776,0.347,0.26,0.0,0.805,90.059,193467.0,6.0,0.0
Levitating,Dua Lipa,unknown,2021,99.0,billboard,euphoric,6,0.7020000000000001,0.8250000000000001,-3.787,0.0601,0.00883,0.0,0.915,102.977,203064.0,6.0,0.0
Hanging by a Moment,Lifehouse,unknown,2001,99.0,billboard,energetic,7,0.541,0.864,-4.915,0.0357,0.00118,0.0,0.435,124.557,216067.0,1.0,1.0
Yeah!,Lil Jon,unknown,2004,99.0,billboard,euphoric,6,0.768,0.843,-4.549,0.0433,0.203,0.0,0.763,123.951,146133.0,9.0,1.0
Yeah!,Usher,unknown,2004,99.0,billboard,happy,5,0.894,0.791,-4.699,0.112,0.0183,0.0,0.583,105.018,250373.0,2.0,1.0
La Bachata,Manuel Turizo,latin,0,98.0,spotify_114k,euphoric,6,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,0.85,124.98,162637.0,7.0,0.0
I'm Good (Blue),David Guetta;Bebe Rexha,pop,0,98.0,spotify_114k,energetic,7,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,0.304,128.04,175238.0,7.0,0.0
